epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.302,1.98384,2.20523,1.88967,0,0,0,0,nan,nan,nan,0.000475063,0.000475063,0.000475063
2,235.229,1.89336,1.90357,1.79358,0.48446,0.40969,0.41084,0.15221,2.14501,2.22747,1.94185,0.000941978,0.000941978,0.000941978
3,351.827,1.85472,1.85107,1.76688,0.50254,0.46244,0.45444,0.19607,1.95554,2.92671,2.01262,0.00139946,0.00139946,0.00139946
4,468.73,1.75665,1.7083,1.69233,0.69383,0.6726,0.72835,0.38283,1.5077,1.83927,1.55363,0.00138656,0.00138656,0.00138656
5,584.876,1.65355,1.53559,1.61482,0.77158,0.72638,0.78268,0.40551,1.54049,1.29172,1.55473,0.00137241,0.00137241,0.00137241
6,700.842,1.60027,1.40672,1.58352,0.85578,0.81426,0.88744,0.4832,1.44864,1.1003,1.4893,0.00135826,0.00135826,0.00135826
7,817.223,1.55803,1.29858,1.55334,0.86462,0.83198,0.91553,0.5049,1.39978,0.97549,1.49206,0.00134412,0.00134412,0.00134412
8,933.421,1.54594,1.27537,1.56066,0.8149,0.808,0.89172,0.48877,1.44238,0.99841,1.52786,0.00132997,0.00132997,0.00132997
9,1049.06,1.49444,1.19524,1.50831,0.90589,0.87108,0.92949,0.53303,1.3568,0.90162,1.44795,0.00131582,0.00131582,0.00131582
10,1166.16,1.47341,1.17141,1.48737,0.88725,0.88598,0.94276,0.57859,1.28131,0.84187,1.37195,0.00130168,0.00130168,0.00130168
11,1283.3,1.43233,1.1375,1.47903,0.8878,0.87248,0.92633,0.55628,1.29013,0.83865,1.3848,0.00128753,0.00128753,0.00128753
12,1398.69,1.39922,1.07443,1.45459,0.94577,0.91323,0.96223,0.59347,1.24744,0.71639,1.36715,0.00127338,0.00127338,0.00127338
13,1515.05,1.41987,1.06114,1.46543,0.90762,0.87117,0.9356,0.56771,1.28118,0.79289,1.3725,0.00125923,0.00125923,0.00125923
14,1629.95,1.39137,1.05368,1.44437,0.93683,0.91858,0.96195,0.60268,1.20812,0.72062,1.35493,0.00124509,0.00124509,0.00124509
15,1746.08,1.38001,1.02989,1.45088,0.88323,0.92249,0.95314,0.57675,1.24905,0.81576,1.3901,0.00123094,0.00123094,0.00123094
16,1861.55,1.36342,0.98763,1.42921,0.90587,0.89272,0.94003,0.55131,1.3234,0.77825,1.37066,0.00121679,0.00121679,0.00121679
17,1976.89,1.35215,0.99161,1.41474,0.9319,0.93091,0.97084,0.61266,1.20939,0.68309,1.32654,0.00120265,0.00120265,0.00120265
18,2093.25,1.3221,0.95593,1.41693,0.95151,0.92944,0.97232,0.61927,1.15805,0.64547,1.28977,0.0011885,0.0011885,0.0011885
19,2209.64,1.29945,0.90724,1.39105,0.95318,0.93093,0.97463,0.6349,1.13836,0.63286,1.30549,0.00117435,0.00117435,0.00117435
20,2326.02,1.27177,0.88277,1.38235,0.94156,0.94161,0.974,0.65795,1.08139,0.67074,1.24903,0.00116021,0.00116021,0.00116021
