epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,587.169,1.76317,2.13897,1.92474,0.44148,0.47947,0.41077,0.21101,1.84537,3.12181,2.26503,0.000475539,0.000475539,0.000475539
2,1166.61,1.66489,1.83515,1.82946,0.70199,0.6252,0.69061,0.37488,1.55421,1.64988,1.88035,0.000904755,0.000904755,0.000904755
3,1743.91,1.56521,1.64591,1.76735,0.72934,0.78847,0.8243,0.45934,1.46073,1.19138,1.80146,0.00128681,0.00128681,0.00128681
4,2320.61,1.49353,1.44349,1.69594,0.7983,0.82732,0.86176,0.47903,1.39513,1.31694,1.76942,0.00121679,0.00121679,0.00121679
5,2897.33,1.44586,1.33793,1.67274,0.89157,0.83731,0.91383,0.57748,1.21346,0.95752,1.60655,0.00114606,0.00114606,0.00114606
6,3474.29,1.35932,1.18022,1.59893,0.88163,0.86014,0.91087,0.54796,1.29787,0.97158,1.6659,0.00107532,0.00107532,0.00107532
7,4050.26,1.34941,1.11457,1.59672,0.91797,0.88631,0.93538,0.6009,1.21697,0.78,1.58046,0.00100459,0.00100459,0.00100459
8,4627.07,1.29932,1.03943,1.56364,0.92864,0.90774,0.95088,0.61602,1.19138,0.71541,1.55479,0.000933851,0.000933851,0.000933851
9,5203.54,1.25276,0.97547,1.52338,0.95377,0.93741,0.96915,0.66784,1.06585,0.61916,1.46543,0.000863116,0.000863116,0.000863116
10,5779.72,1.1951,0.9063,1.49056,0.89901,0.9247,0.947,0.61872,1.20683,0.74058,1.61171,0.00079238,0.00079238,0.00079238
11,6356.75,1.07963,0.65412,1.46198,0.95243,0.9319,0.96988,0.69094,0.98063,0.59373,1.38958,0.000721645,0.000721645,0.000721645
12,6934,1.02239,0.59767,1.42204,0.94875,0.91185,0.96689,0.71203,0.94069,0.57491,1.34574,0.000650909,0.000650909,0.000650909
13,7510.57,0.98361,0.56211,1.39002,0.96653,0.95573,0.98209,0.73764,0.91102,0.4973,1.33291,0.000580174,0.000580174,0.000580174
14,8087.35,0.93032,0.52273,1.34065,0.97461,0.96267,0.98576,0.74762,0.89047,0.47004,1.30503,0.000509438,0.000509438,0.000509438
15,8663.93,0.90631,0.49,1.31615,0.98636,0.96455,0.98626,0.76535,0.85626,0.43645,1.28891,0.000438703,0.000438703,0.000438703
16,9240.83,0.86807,0.46386,1.28524,0.98202,0.97498,0.98788,0.78348,0.80488,0.41116,1.23797,0.000367967,0.000367967,0.000367967
17,9817.64,0.83977,0.44026,1.2712,0.98149,0.97357,0.98802,0.7888,0.78664,0.40516,1.22687,0.000297232,0.000297232,0.000297232
18,10394.2,0.80398,0.41557,1.24362,0.98948,0.97428,0.98828,0.77031,0.83744,0.39584,1.26315,0.000226497,0.000226497,0.000226497
19,10970,0.77361,0.39589,1.22077,0.98452,0.98022,0.99,0.81344,0.73065,0.3592,1.18595,0.000155761,0.000155761,0.000155761
20,11546.7,0.7407,0.38055,1.19586,0.99027,0.98211,0.99106,0.81714,0.71672,0.34997,1.16635,8.50255e-05,8.50255e-05,8.50255e-05
